# rank	score	word	reasons
107	-9.04	glee	hint,double-final
108	-9.05	roan	common5-fragment,plain-shape
109	-9.06	rime	common5-fragment,plain-shape
110	-9.06	tate	common5-fragment,plain-shape
111	-9.07	rond	common5-fragment,plain-shape
112	-9.09	rasp	common5-fragment,plain-shape
113	-9.14	aide	common5-fragment
114	-9.14	lask	common5-fragment,plain-shape
115	-9.14	ense	common5-fragment,plain-shape
116	-9.15	loon	common5-fragment
117	-9.17	ager	common5-fragment,plain-shape
118	-9.17	gram	common5-fragment,plain-shape
119	-9.19	akin	hint,plain-shape
120	-9.19	leal	plain-shape
121	-9.20	blip	hint,plain-shape
122	-9.24	lues	common5-fragment,plain-shape,s-form
123	-9.24	cand	common5-fragment,plain-shape
124	-9.25	leet	common5-fragment
125	-9.25	ural	common5-fragment,plain-shape
126	-9.26	hame	common5-fragment,plain-shape
127	-9.28	rune	common5-fragment,plain-shape
128	-9.30	teel	common5-fragment
129	-9.32	lunt	common5-fragment,plain-shape
130	-9.35	lice	common5-fragment,plain-shape
131	-9.35	mote	common5-fragment,plain-shape
132	-9.36	zest	hint,plain-shape,rare-letter
133	-9.36	mano	common5-fragment,plain-shape
134	-9.40	agen	common5-fragment,plain-shape
135	-9.41	glar	common5-fragment,plain-shape
136	-9.42	fora	common5-fragment,plain-shape
137	-9.42	sain	common5-fragment,plain-shape
138	-9.43	elle	common5-fragment
139	-9.44	gent	common5-fragment,plain-shape
140	-9.45	hark	common5-fragment,plain-shape
141	-9.45	wang	common5-fragment,plain-shape
142	-9.49	limo	hint,plain-shape
143	-9.49	cric	common5-fragment,plain-shape
144	-9.49	peed	common5-fragment
145	-9.50	flam	common5-fragment,plain-shape
146	-9.50	ilot	common5-fragment,plain-shape
147	-9.50	lama	common5-fragment,plain-shape
148	-9.52	abas	common5-fragment,plain-shape,s-form
149	-9.53	crow	common5-fragment,plain-shape
150	-9.53	stra	common5-fragment,plain-shape
151	-9.54	apar	common5-fragment,plain-shape
152	-9.55	hade	common5-fragment,plain-shape
153	-9.56	nane	common5-fragment,plain-shape
154	-9.58	vert	common5-fragment,plain-shape
155	-9.58	wast	common5-fragment,plain-shape
156	-9.59	dram	common5-fragment,plain-shape
157	-9.59	teet	common5-fragment
158	-9.63	roil	common5-fragment,plain-shape
159	-9.64	shou	common5-fragment,plain-shape
160	-9.67	stam	common5-fragment,plain-shape
161	-9.68	prow	common5-fragment,plain-shape
162	-9.69	tote	common5-fragment,plain-shape
163	-9.70	oons	common5-fragment,s-form
164	-9.70	rood	common5-fragment
165	-9.71	tern	common5-fragment,plain-shape
166	-9.72	trun	common5-fragment,plain-shape
167	-9.72	odel	common5-fragment,plain-shape
168	-9.73	crus	common5-fragment,plain-shape,s-form
169	-9.74	loam	common5-fragment,plain-shape
170	-9.74	lith	common5-fragment,plain-shape
171	-9.76	sola	common5-fragment,plain-shape
172	-9.78	lope	common5-fragment,plain-shape
173	-9.78	boun	common5-fragment,plain-shape
174	-9.81	rake	common5-fragment,plain-shape
175	-9.81	lien	common5-fragment,plain-shape
176	-9.83	peda	common5-fragment,plain-shape
177	-9.83	dole	common5-fragment,plain-shape
178	-9.83	lood	common5-fragment
179	-9.84	iter	plain-shape
180	-9.84	lave	common5-fragment,plain-shape
181	-9.84	daze	hint,common5-fragment,plain-shape,rare-letter
182	-9.86	thir	common5-fragment,plain-shape
183	-9.86	rive	common5-fragment,plain-shape
184	-9.88	unde	common5-fragment,plain-shape
185	-9.92	rial	common5-fragment,plain-shape
186	-9.93	adet	common5-fragment,plain-shape
187	-9.94	rove	common5-fragment,plain-shape
188	-9.94	risp	common5-fragment,plain-shape
189	-9.94	drow	common5-fragment,plain-shape
190	-9.95	glor	common5-fragment,plain-shape
191	-9.95	chew	hint,plain-shape
192	-9.96	fain	common5-fragment,plain-shape
193	-9.97	bora	common5-fragment,plain-shape
194	-9.97	nash	common5-fragment,plain-shape
195	-9.97	wist	common5-fragment,plain-shape
196	-9.98	chil	common5-fragment,plain-shape
197	-9.98	clow	common5-fragment,plain-shape
198	-9.98	veto	hint,plain-shape
199	-9.99	asta	plain-shape
200	-9.99	cade	common5-fragment,plain-shape
201	-10.01	craw	common5-fragment,plain-shape
202	-10.01	leep	common5-fragment
203	-10.01	pice	common5-fragment,plain-shape
204	-10.02	chai	common5-fragment,plain-shape
205	-10.02	achy	hint,plain-shape
206	-10.02	ower	common5-fragment,plain-shape
207	-10.05	coul	common5-fragment,plain-shape
208	-10.05	spew	hint,plain-shape
209	-10.09	slay	common5-fragment,plain-shape
210	-10.09	amok	hint,plain-shape
211	-10.10	mani	common5-fragment,plain-shape
212	-10.11	tome	common5-fragment,plain-shape
213	-10.11	hake	common5-fragment,plain-shape
214	-10.11	acor	common5-fragment,plain-shape
215	-10.12	plat	common5-fragment,plain-shape
216	-10.12	bole	common5-fragment,plain-shape
217	-10.12	blad	common5-fragment,plain-shape
218	-10.13	dais	common5-fragment,plain-shape,s-form
219	-10.13	whin	common5-fragment,plain-shape
220	-10.14	coda	hint,plain-shape
221	-10.16	ging	common5-fragment,plain-shape
222	-10.17	wiry	hint,plain-shape
223	-10.18	lown	common5-fragment,plain-shape
224	-10.19	hoar	common5-fragment,plain-shape
225	-10.19	prim	common5-fragment,plain-shape
226	-10.20	mise	common5-fragment,plain-shape
227	-10.20	shap	common5-fragment,plain-shape
228	-10.20	coli	common5-fragment,plain-shape
229	-10.20	lest	plain-shape
230	-10.21	warn	common5-fragment,plain-shape
231	-10.21	vali	common5-fragment,plain-shape
232	-10.22	ango	common5-fragment,plain-shape
233	-10.22	bide	common5-fragment,plain-shape
234	-10.22	bust	common5-fragment,plain-shape
235	-10.23	tilt	common5-fragment,plain-shape
236	-10.23	afar	hint,plain-shape
237	-10.25	bark	common5-fragment,plain-shape
238	-10.26	cham	common5-fragment,plain-shape
239	-10.26	eave	common5-fragment
240	-10.28	brow	common5-fragment,plain-shape
241	-10.28	taut	hint,plain-shape
242	-10.29	mora	common5-fragment,plain-shape
243	-10.30	soli	common5-fragment,plain-shape
244	-10.30	torc	common5-fragment,plain-shape
245	-10.31	olid	common5-fragment,plain-shape
246	-10.33	anon	common5-fragment,plain-shape
247	-10.33	rook	common5-fragment
248	-10.33	wort	common5-fragment,plain-shape
249	-10.33	ding	common5-fragment,plain-shape
250	-10.34	pied	common5-fragment,plain-shape
251	-10.34	perm	common5-fragment,plain-shape
252	-10.36	teat	plain-shape
253	-10.39	roup	common5-fragment,plain-shape
254	-10.39	ruer	common5-fragment,plain-shape
255	-10.41	anal	common5-fragment,plain-shape
256	-10.42	ally	common5-fragment
257	-10.42	grim	common5-fragment,plain-shape
258	-10.42	slag	common5-fragment,plain-shape
259	-10.43	brot	common5-fragment,plain-shape
260	-10.44	frow	common5-fragment,plain-shape
261	-10.44	rale	plain-shape
262	-10.45	shad	common5-fragment,plain-shape
263	-10.45	mout	common5-fragment,plain-shape
264	-10.45	nome	common5-fragment,plain-shape
265	-10.46	liar	common5-fragment,plain-shape
266	-10.46	tidy	hint,plain-shape
267	-10.46	erth	common5-fragment,plain-shape
268	-10.47	chap	common5-fragment,plain-shape
269	-10.49	nave	common5-fragment,plain-shape
270	-10.51	whar	common5-fragment,plain-shape
271	-10.51	pank	common5-fragment,plain-shape
272	-10.52	toot	common5-fragment
273	-10.53	loin	common5-fragment,plain-shape
274	-10.53	foun	common5-fragment,plain-shape
275	-10.54	oary	common5-fragment,plain-shape
276	-10.54	abut	hint,plain-shape
277	-10.54	clap	common5-fragment,plain-shape
278	-10.55	heaf	common5-fragment,plain-shape
279	-10.55	vail	common5-fragment,plain-shape
280	-10.55	tean	plain-shape
281	-10.57	tink	common5-fragment,plain-shape
282	-10.58	hong	common5-fragment,plain-shape
283	-10.59	meek	hint
284	-10.59	flit	common5-fragment,plain-shape
285	-10.59	frot	common5-fragment,plain-shape
286	-10.59	mong	common5-fragment,plain-shape
287	-10.60	vane	common5-fragment,plain-shape
288	-10.60	peso	common5-fragment,plain-shape
289	-10.61	lush	common5-fragment,plain-shape
290	-10.62	prop	common5-fragment,plain-shape
291	-10.64	braw	common5-fragment,plain-shape
292	-10.65	tory	common5-fragment,plain-shape
293	-10.65	buoy	hint,common5-fragment,plain-shape
294	-10.65	loca	common5-fragment,plain-shape
295	-10.67	avow	hint,plain-shape
296	-10.68	luna	common5-fragment,plain-shape
297	-10.68	mete	common5-fragment,plain-shape
298	-10.68	sire	common5-fragment,plain-shape
299	-10.69	inks	common5-fragment,plain-shape,s-form
300	-10.70	alen	plain-shape
301	-10.71	hoot	common5-fragment
302	-10.71	dand	common5-fragment,plain-shape
303	-10.71	oner	plain-shape
304	-10.72	tera	plain-shape
305	-10.73	redo	common5-fragment,plain-shape
306	-10.73	tora	plain-shape
307	-10.75	illy	common5-fragment
308	-10.75	mola	common5-fragment,plain-shape
309	-10.76	pith	common5-fragment,plain-shape
310	-10.77	sift	hint,plain-shape
311	-10.79	tave	common5-fragment,plain-shape
312	-10.80	lote	plain-shape
313	-10.80	beal	plain-shape
314	-10.80	mage	common5-fragment,plain-shape
315	-10.80	grun	common5-fragment,plain-shape
316	-10.81	alin	plain-shape
317	-10.82	hike	hint,plain-shape
318	-10.83	harp	common5-fragment,plain-shape
319	-10.83	toug	common5-fragment,plain-shape
320	-10.85	nake	common5-fragment,plain-shape
321	-10.85	arty	common5-fragment,plain-shape
322	-10.85	flue	common5-fragment,plain-shape
323	-10.86	vase	common5-fragment,plain-shape
324	-10.87	roud	common5-fragment,plain-shape
325	-10.87	lute	common5-fragment,plain-shape
326	-10.87	gape	common5-fragment,plain-shape
327	-10.87	urea	ngram-only
328	-10.89	floc	common5-fragment,plain-shape
329	-10.89	pape	common5-fragment,plain-shape
330	-10.89	poil	common5-fragment,plain-shape
331	-10.90	rump	common5-fragment,plain-shape
332	-10.90	reck	common5-fragment,plain-shape
333	-10.91	reek	common5-fragment
334	-10.91	peep	common5-fragment
335	-10.92	thon	common5-fragment,plain-shape
336	-10.93	tick	common5-fragment,plain-shape
337	-10.93	spor	common5-fragment,plain-shape
338	-10.95	dote	common5-fragment,plain-shape
339	-10.97	hick	common5-fragment,plain-shape
340	-10.97	roke	common5-fragment,plain-shape
341	-10.97	mino	common5-fragment,plain-shape
342	-10.98	lass	common5-fragment,s-form,double-final
343	-10.99	whir	common5-fragment,plain-shape
344	-11.00	sere	plain-shape
345	-11.01	cree	common5-fragment,double-final
346	-11.02	deft	hint,plain-shape
347	-11.03	trin	plain-shape
348	-11.04	lory	common5-fragment,plain-shape
349	-11.04	lump	common5-fragment,plain-shape
350	-11.04	ploy	hint,plain-shape
351	-11.05	rill	common5-fragment,double-final
352	-11.05	leer	ngram-only
353	-11.06	burp	hint,plain-shape
354	-11.07	slid	common5-fragment,plain-shape
355	-11.08	asse	common5-fragment
356	-11.10	soda	hint,plain-shape
357	-11.10	tung	common5-fragment,plain-shape
358	-11.11	pean	plain-shape
359	-11.12	spad	common5-fragment,plain-shape
360	-11.13	reve	common5-fragment,plain-shape
361	-11.14	weet	common5-fragment
362	-11.14	flak	common5-fragment,plain-shape
363	-11.14	sera	plain-shape
364	-11.15	piny	common5-fragment,plain-shape
365	-11.17	lobe	common5-fragment,plain-shape
366	-11.17	uran	plain-shape
367	-11.18	vade	common5-fragment,plain-shape
368	-11.19	tine	plain-shape
369	-11.22	mack	common5-fragment,plain-shape
370	-11.23	colt	common5-fragment,plain-shape
371	-11.23	crin	plain-shape
372	-11.23	womb	hint,plain-shape
373	-11.24	lard	plain-shape
374	-11.25	wice	common5-fragment,plain-shape
375	-11.25	purr	hint,double-final
376	-11.27	leck	common5-fragment,plain-shape
377	-11.28	bode	common5-fragment,plain-shape
378	-11.29	hals	plain-shape,s-form
379	-11.29	cede	common5-fragment,plain-shape
380	-11.30	sero	plain-shape
381	-11.30	blur	common5-fragment,plain-shape
382	-11.31	arow	plain-shape
383	-11.32	croc	common5-fragment,plain-shape
384	-11.32	keel	common5-fragment
385	-11.33	gaun	common5-fragment,plain-shape
386	-11.34	aval	common5-fragment,plain-shape
387	-11.34	chun	common5-fragment,plain-shape
388	-11.35	ruin	common5-fragment,plain-shape
389	-11.35	poon	common5-fragment
390	-11.35	taro	plain-shape
391	-11.38	pell	common5-fragment,double-final
392	-11.39	ewer	common5-fragment,plain-shape
393	-11.39	noma	common5-fragment,plain-shape
394	-11.39	meta	common5-fragment,plain-shape
395	-11.40	swab	hint,plain-shape
396	-11.41	hora	plain-shape
397	-11.42	dere	plain-shape
398	-11.42	toop	common5-fragment
399	-11.43	ouch	common5-fragment,plain-shape
400	-11.43	veri	plain-shape
401	-11.45	gust	common5-fragment,plain-shape
402	-11.45	hove	common5-fragment,plain-shape
403	-11.47	alow	plain-shape
404	-11.48	cusp	hint,plain-shape
405	-11.49	mura	common5-fragment,plain-shape
406	-11.49	clod	common5-fragment,plain-shape
407	-11.50	emit	common5-fragment,plain-shape
408	-11.50	coup	common5-fragment,plain-shape
409	-11.50	prig	common5-fragment,plain-shape
410	-11.50	sten	plain-shape
411	-11.51	tamp	common5-fragment,plain-shape
412	-11.51	hala	plain-shape
413	-11.52	tala	plain-shape
414	-11.53	gare	plain-shape
415	-11.53	genu	common5-fragment,plain-shape
416	-11.53	dorn	common5-fragment,plain-shape
417	-11.54	mids	common5-fragment,plain-shape,s-form
418	-11.55	aloe	common5-fragment
419	-11.56	avid	hint,plain-shape
420	-11.58	tane	plain-shape
421	-11.58	prob	common5-fragment,plain-shape
422	-11.59	toad	common5-fragment,plain-shape
423	-11.60	gong	common5-fragment,plain-shape
424	-11.61	hoop	common5-fragment
425	-11.62	fury	hint,plain-shape
426	-11.64	fore	plain-shape
427	-11.65	clog	common5-fragment,plain-shape
428	-11.66	weal	plain-shape
429	-11.66	lors	plain-shape,s-form
430	-11.66	rect	common5-fragment,plain-shape
431	-11.66	mity	common5-fragment,plain-shape
432	-11.67	gild	common5-fragment,plain-shape
433	-11.68	ribe	common5-fragment,plain-shape
434	-11.69	sile	plain-shape
435	-11.69	dime	common5-fragment,plain-shape
436	-11.70	tali	plain-shape
437	-11.70	chid	common5-fragment,plain-shape
438	-11.71	lent	plain-shape
439	-11.73	hunk	common5-fragment,plain-shape
440	-11.73	alit	plain-shape
441	-11.76	vera	plain-shape
442	-11.76	maro	plain-shape
443	-11.76	moor	common5-fragment
444	-11.76	saga	common5-fragment,plain-shape
445	-11.77	taun	common5-fragment,plain-shape
446	-11.78	tiar	common5-fragment,plain-shape
447	-11.79	leek	common5-fragment
448	-11.79	gree	common5-fragment,double-final
449	-11.79	slop	common5-fragment,plain-shape
450	-11.80	caba	common5-fragment,plain-shape
451	-11.81	indy	common5-fragment,plain-shape
452	-11.81	airy	common5-fragment,plain-shape
453	-11.81	rani	plain-shape
454	-11.82	wasp	common5-fragment,plain-shape
455	-11.83	hers	plain-shape,s-form
456	-11.83	topi	common5-fragment,plain-shape
457	-11.83	heme	common5-fragment,plain-shape
458	-11.85	whit	common5-fragment,plain-shape
459	-11.85	lene	plain-shape
460	-11.86	moke	common5-fragment,plain-shape
461	-11.87	shee	common5-fragment,double-final
462	-11.88	rude	common5-fragment,plain-shape
463	-11.89	loof	common5-fragment
464	-11.89	weep	common5-fragment
465	-11.89	thud	hint,plain-shape
466	-11.89	mant	plain-shape
467	-11.90	tara	plain-shape
468	-11.90	mell	common5-fragment,double-final
469	-11.91	curl	common5-fragment,plain-shape
470	-11.92	woon	common5-fragment
471	-11.92	gens	plain-shape,s-form
472	-11.92	alec	plain-shape
473	-11.92	ming	plain-shape
474	-11.93	hump	common5-fragment,plain-shape
475	-11.93	lurk	common5-fragment,plain-shape
476	-11.96	bake	common5-fragment,plain-shape
477	-11.96	girt	common5-fragment,plain-shape
478	-11.96	sert	plain-shape
479	-11.96	rana	plain-shape
480	-11.97	osse	common5-fragment
481	-11.97	onus	common5-fragment,plain-shape,s-form
482	-11.97	proo	common5-fragment,double-final
483	-11.98	rift	common5-fragment,plain-shape
484	-11.99	abac	common5-fragment,plain-shape
485	-12.00	alba	hint,plain-shape
486	-12.00	toke	common5-fragment,plain-shape
487	-12.00	barb	common5-fragment,plain-shape
488	-12.00	wick	common5-fragment,plain-shape
489	-12.01	foil	common5-fragment,plain-shape
490	-12.02	rata	plain-shape
491	-12.02	roon	ngram-only
492	-12.02	tock	common5-fragment,plain-shape
493	-12.03	olam	plain-shape
494	-12.04	floe	common5-fragment,plain-shape
495	-12.04	chee	common5-fragment,double-final
496	-12.04	smit	common5-fragment,plain-shape
497	-12.04	serf	common5-fragment,plain-shape
498	-12.04	mope	common5-fragment,plain-shape
499	-12.05	grue	common5-fragment,plain-shape
500	-12.05	agre	common5-fragment,plain-shape
501	-12.05	boil	common5-fragment,plain-shape
502	-12.05	spec	common5-fragment,plain-shape
503	-12.06	pert	plain-shape
504	-12.06	dene	plain-shape
505	-12.07	mero	plain-shape
506	-12.07	pate	plain-shape
507	-12.08	lari	plain-shape
508	-12.08	blee	common5-fragment,double-final
509	-12.08	dune	common5-fragment,plain-shape
510	-12.09	mese	plain-shape
511	-12.10	seme	common5-fragment,plain-shape
512	-12.10	ruck	common5-fragment,plain-shape
513	-12.12	drat	plain-shape
514	-12.12	wisp	common5-fragment,plain-shape
515	-12.13	airt	plain-shape
516	-12.14	beau	common5-fragment
517	-12.15	wain	plain-shape
518	-12.15	damp	common5-fragment,plain-shape
519	-12.15	lile	plain-shape
520	-12.16	paga	common5-fragment,plain-shape
521	-12.16	orad	plain-shape
522	-12.16	bled	plain-shape
523	-12.16	mule	common5-fragment,plain-shape
524	-12.16	apex	hint,plain-shape,rare-letter
525	-12.17	bere	plain-shape
526	-12.18	mand	plain-shape
527	-12.18	wale	plain-shape
528	-12.19	teap	plain-shape
529	-12.19	neve	common5-fragment,plain-shape
530	-12.19	papa	common5-fragment,plain-shape
531	-12.20	argo	common5-fragment,plain-shape
532	-12.20	carr	common5-fragment,double-final
533	-12.21	ahem	hint,plain-shape
534	-12.21	fuse	common5-fragment,plain-shape
535	-12.21	harr	common5-fragment,double-final
536	-12.22	nese	plain-shape
537	-12.23	curd	common5-fragment,plain-shape
538	-12.23	rede	plain-shape
539	-12.24	poke	common5-fragment,plain-shape
540	-12.24	deem	common5-fragment
541	-12.24	slee	common5-fragment,double-final
542	-12.25	lede	plain-shape
543	-12.26	lasa	plain-shape
544	-12.26	lata	plain-shape
545	-12.26	pind	plain-shape
546	-12.27	loot	ngram-only
547	-12.28	riva	common5-fragment,plain-shape
548	-12.29	gane	plain-shape
549	-12.30	puff	hint,common5-fragment,double-final
550	-12.31	tron	plain-shape
551	-12.31	oyer	common5-fragment,plain-shape
552	-12.32	shat	plain-shape
553	-12.32	malo	plain-shape
554	-12.33	tyre	hint,plain-shape
555	-12.35	clat	plain-shape
556	-12.35	bara	plain-shape
557	-12.36	rasa	plain-shape
558	-12.36	wint	plain-shape
559	-12.36	cock	common5-fragment,plain-shape
560	-12.36	sora	plain-shape
561	-12.37	nock	common5-fragment,plain-shape
562	-12.37	thig	common5-fragment,plain-shape
563	-12.38	hock	common5-fragment,plain-shape
564	-12.38	dreg	common5-fragment,plain-shape
565	-12.38	slad	plain-shape
566	-12.38	goad	common5-fragment,plain-shape
567	-12.38	mead	plain-shape
568	-12.38	thar	plain-shape
569	-12.39	lete	plain-shape
570	-12.39	lina	plain-shape
571	-12.39	calp	common5-fragment,plain-shape
572	-12.42	faun	common5-fragment,plain-shape
573	-12.43	nain	plain-shape
574	-12.43	watt	hint,double-final
575	-12.43	howl	common5-fragment,plain-shape
576	-12.43	numb	hint,plain-shape
577	-12.44	gers	plain-shape,s-form
578	-12.44	cark	plain-shape
579	-12.44	vend	plain-shape
580	-12.44	dult	common5-fragment,plain-shape
581	-12.44	scam	common5-fragment,plain-shape
582	-12.45	bine	plain-shape
583	-12.46	warf	common5-fragment,plain-shape
584	-12.46	bree	common5-fragment,double-final
585	-12.46	rool	ngram-only
586	-12.47	feal	plain-shape
587	-12.48	dite	plain-shape
588	-12.48	shoo	common5-fragment,double-final
589	-12.50	bant	plain-shape
590	-12.50	lire	plain-shape
591	-12.52	sind	plain-shape
592	-12.53	gast	plain-shape
593	-12.53	bats	plain-shape,s-form
594	-12.53	peck	common5-fragment,plain-shape
595	-12.54	blat	plain-shape
596	-12.54	cive	common5-fragment,plain-shape
597	-12.54	lune	plain-shape
598	-12.56	chut	common5-fragment,plain-shape
599	-12.56	pard	plain-shape
600	-12.56	harn	plain-shape
601	-12.56	gall	common5-fragment,double-final
602	-12.56	tarr	common5-fragment,double-final
603	-12.56	anew	plain-shape
604	-12.56	pand	plain-shape
605	-12.57	vare	plain-shape
606	-12.57	heir	common5-fragment,plain-shape
607	-12.57	amar	plain-shape
608	-12.57	pais	plain-shape,s-form
609	-12.58	broo	common5-fragment,double-final
610	-12.58	mela	plain-shape
611	-12.59	seak	plain-shape
612	-12.60	scow	common5-fragment,plain-shape
613	-12.60	proa	plain-shape
614	-12.61	hent	plain-shape
615	-12.61	gest	plain-shape
616	-12.61	skil	common5-fragment,plain-shape
617	-12.61	alem	plain-shape
618	-12.62	tind	plain-shape
619	-12.62	bela	plain-shape
620	-12.63	wamp	common5-fragment,plain-shape
621	-12.64	alop	plain-shape
622	-12.64	wive	common5-fragment,plain-shape
623	-12.65	mala	plain-shape
624	-12.65	pook	common5-fragment
625	-12.65	aura	common5-fragment
626	-12.65	prey	common5-fragment,plain-shape
627	-12.66	agon	common5-fragment,plain-shape
628	-12.66	lura	plain-shape
629	-12.66	aril	plain-shape
630	-12.67	dobe	common5-fragment,plain-shape
631	-12.67	bain	plain-shape
632	-12.68	wipe	common5-fragment,plain-shape
633	-12.68	clef	common5-fragment,plain-shape
634	-12.68	sour	plain-shape
635	-12.68	polk	common5-fragment,plain-shape
636	-12.68	nous	plain-shape,s-form
637	-12.69	sill	common5-fragment,double-final
638	-12.69	whim	common5-fragment,plain-shape
639	-12.69	guar	common5-fragment,plain-shape
640	-12.69	lorn	plain-shape
641	-12.69	corp	common5-fragment,plain-shape
642	-12.70	haul	common5-fragment,plain-shape
643	-12.70	pali	plain-shape
644	-12.70	rach	plain-shape
645	-12.70	neap	plain-shape
646	-12.70	palt	plain-shape
647	-12.71	seel	ngram-only
648	-12.73	bali	plain-shape
649	-12.73	sloo	common5-fragment,double-final
650	-12.73	dain	plain-shape
651	-12.73	waif	common5-fragment,plain-shape
652	-12.74	cled	plain-shape
653	-12.74	burl	common5-fragment,plain-shape
654	-12.75	mock	common5-fragment,plain-shape
655	-12.76	bees	s-form
656	-12.76	arad	plain-shape
657	-12.76	nook	common5-fragment
658	-12.77	pash	plain-shape
659	-12.78	ammo	hint
660	-12.80	tump	common5-fragment,plain-shape
661	-12.81	heck	common5-fragment,plain-shape
662	-12.82	mali	plain-shape
663	-12.82	nais	plain-shape,s-form
664	-12.83	tite	plain-shape
665	-12.83	peen	ngram-only
666	-12.84	flot	plain-shape
667	-12.85	hure	plain-shape
668	-12.85	lota	plain-shape
669	-12.85	mire	plain-shape
